ID,اسم الفرع عربي,اسم الفرع عبري,الهاتف,ساعات الدوام عربي,ساعات الدوام عبري,رابط Waze / Maps,Instagram,TikTok,Facebook,WhatsApp
12,حيفا,חיפה,549634449,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,https://www.waze.com/en/live-map/directions/%D7%97%D7%99%D7%A4%D7%94?navigate=yes&place=99506.49&utm_campaign=default&utm_medium=lm_share_location&utm_source=waze_website,https://www.instagram.com/mad_haifa?igsh=MTNubXBpM2c5N2swcQ%3D%3D&utm_source=qr,"https://www.tiktok.com/@mad.perfume?_r=1&_d=f1ae263b0g8a2m&sec_uid=MS4wLjABAAAA-kMtzgU3pyJhKB5aXSYZK6jWDC-2I65q3rpSadQrkVt9bdZgttCM3neehbTROR58&share_author_id=7254666003215598594&sharer_language=ar&source=h5_m&u_code=e90m7gl2jlghdl&item_author_type=1&utm_source=whatsapp&tt_from=whatsapp&enable_checksum=1&utm_medium=ios&share_link_id=0C90EEB8-9C18-483C-AE46-BB3E9148613E&user_id=7254666003215598594&sec_user_id=MS4wLjABAAAA-kMtzgU3pyJhKB5aXSYZK6jWDC-2I65q3rpSadQrkVt9bdZgttCM3neehbTROR58&social_share_type=5&ug_btm=b8727,b0&utm_campaign=client_share&share_app_id=1233",https://www.facebook.com/share/17ajto5ctz/?mibextid=wwXIfr,https://wa.me/549634449⁩
4,تل أبيب - يافا,תל אביב-יפו,527035370,الأحد-الأربعاء: 10:00-22:00<br>الخميس-الجمعة: 10:00-00:00<br>السبت: 10:00-22:00,א'-ד': 10:00-22:00<br>ה'-ו': 10:00-00:00<br>שבת: 10:00-22:00,https://ul.waze.com/ul?place=EipEYXZpZCBSYXppJ2VsIFN0IDIzLCBUZWwgQXZpdi1ZYWZvLCBJc3JhZWwiMBIuChQKEgntsiS-vkwdFREv7GII8cikqxAXKhQKEgmHZ_csvEwdFRFa3i1EzNr69g&ll=32.05510440%2C34.75639440&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/527035370
3,الرمله,רמלה,527035370,الأحد-الخميس: 09:00-21:00<br>الجمعة: 09:00-18:00<br>السبت: 14:00-21:00,א'-ה': 09:00-21:00<br>שישי: 09:00-18:00<br>שבת: 14:00-21:00,"https://www.waze.com/ul?ll=31.9260024,34.8763619&navigate=yes",https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/527035370
7,هيرتسيليا,הרצליה,522438398,الأحد-الخميس: 10:00-20:00<br>الجمعة 10 עד 3 والسبت: مغلق,א'-ה': 10:00-20:00<br>שישי 10 עד 3 ושבת: סגור,https://waze.com/ul?q=Sokolov+14+Herzliya&navigate=yes,https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/522438398
14,الخضيرة,חדרה,523953681,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.4417243,34.8950613&navigate=yes",https://www.instagram.com/madparfumeur_hadera?igsh=djNuc2xtdWdhc253&utm_source=qr,https://www.tiktok.com/@mad_perfume_hedera?_r=1&_t=ZS-92xpIBDBz8C,https://www.facebook.com/share/1DRGcPamzQ/?mibextid=wwXIfr,https://wa.me/523953681
24,يركا,ירכא,546842420,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.947444,35.1740662&navigate=yes",https://www.instagram.com/mad.parfume.yarka?igsh=YWdlNDg5bGVkeHJw,https://www.tiktok.com/@mad_perfume_yarka_?_r=1&_t=ZS-92zdsWjhpJg,https://www.facebook.com/share/1Dw8vjay9w/?mibextid=wwXIfr,https://wa.me/546842420
21,طمرة,טמרה,505830733,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.8573682,35.1745076&navigate=yes",https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/505830733
23,جديدة المكر,ג׳דידה אלמכר,508683838,يومياً: 11:00 - 21:00,כל יום: 11:00 - 21:00,"https://www.waze.com/ul?ll=32.9323979,35.1576085&navigate=yes",https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/508683838
22,سخنين,סח'נין,525335571,يومياً: 10:30 - 22:30,כל יום: 10:30 - 22:30,"https://www.waze.com/ul?ll=32.8620192,35.2982376&navigate=yes",https://www.instagram.com/mad_parfumeur_sakhnin?igsh=MWQzMG1wdWx3dm9sdA==,https://www.tiktok.com/@mad.parfumeur8?_r=1&_t=ZS-92zcMODvG5A,https://www.facebook.com/share/17iAsfFoRF/,https://wa.me/525335571
2,كفر مندا,כפר מאנדא,505102019,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://ul.waze.com/ul?ll=32.80894429%2C35.26172519&navigate=yes&zoom=17&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,https://www.instagram.com/madperfum.kfarmand?igsh=MThtZnM0dXRmc2NreA%3D%3D&utm_source=qr,https://www.tiktok.com/@madperfum_kfarmnda?_r=1&_t=ZS-92xr5BhcQ7O,https://www.facebook.com/share/1DSeL6QDvF/?mibextid=wwXIfr,https://wa.me/505102019
1,دالية الكرمل,דלית אל כרמל,525592293,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://waze.com/ul?q=Kiwi%20store%20Daliyat%20al-Karmel&navigate=yes,https://www.instagram.com/madperfume_daliyat.al.karmel?igsh=MXJ5OGMyY29uMWx4cQ==,https://www.tiktok.com/@madperfum_daliytalkarmel?_r=1&_t=ZS-92xp7xFmUx0,https://www.facebook.com/share/14PaVKwDWQW/,https://wa.me/525592293
9,القدس - صلاح الدين,ירושלים - סלאח א-דין,545697644,الأحد-الخميس: 09:00-19:30<br>الجمعة: مغلق ❌,א'-ה': 09:00-19:30<br>שישי: סגור ❌,"https://www.waze.com/ul?ll=31.7838104,35.236511&navigate=yes",https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/545697644
10,القدس - سلطان سليمان,ירושלים - סולטאן סולימאן,545697644,الأحد-الخميس: 09:00-19:30<br>الجمعة: مغلق ❌,א'-ה': 09:00-19:30<br>שישי: סגור ❌,https://waze.com/ul?q=Sultan%20Suleiman%20St%20Jerusalem&navigate=yes,https://www.instagram.com/perfume.mad,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/545697644
