ID,اسم الفرع عربي,اسم الفرع عبري,الهاتف,ساعات الدوام عربي,ساعات الدوام عبري,رابط Waze / Maps,Instagram,TikTok,Facebook,WhatsApp
12,حيفا,חיפה,0506164130,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,https://www.waze.com/en/live-map/directions/%D7%97%D7%99%D7%A4%D7%94?navigate=yes&place=99506.49&utm_campaign=default&utm_medium=lm_share_location&utm_source=waze_website,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/506164130
4,تل أبيب - يافا,תל אביב-יפו,0527035370,الأحد-الأربعاء: 10:00-22:00<br>الخميس-الجمعة: 10:00-00:00<br>السبت: 10:00-22:00,א'-ד': 10:00-22:00<br>ה'-ו': 10:00-00:00<br>שבת: 10:00-22:00,https://ul.waze.com/ul?place=EipEYXZpZCBSYXppJ2VsIFN0IDIzLCBUZWwgQXZpdi1ZYWZvLCBJc3JhZWwiMBIuChQKEgntsiS-vkwdFREv7GII8cikqxAXKhQKEgmHZ_csvEwdFRFa3i1EzNr69g&ll=32.05510440%2C34.75639440&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/527035370
3,الرمله,רמלה,0527035370,الأحد-الخميس: 09:00-21:00<br>الجمعة: 09:00-18:00<br>السبت: 14:00-21:00,א'-ה': 09:00-21:00<br>שישי: 09:00-18:00<br>שבת: 14:00-21:00,"https://www.waze.com/ul?ll=31.9260024,34.8763619&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/527035370
7,هيرتسيليا,הרצליה,0522438398,الأحد-الخميس: 10:00-20:00<br>الجمعة 10 עד 3 والسبت: مغلق ,א'-ה': 10:00-20:00<br>שישי 10 עד 3 ושבת: סגור ,https://waze.com/ul?q=Sokolov+14+Herzliya&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/522438398
14,الخضيرة,חדרה,0523953681,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.4417243,34.8950613&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/523953681
24,يركا,ירכא,0546842420,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.947444,35.1740662&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/546842420
21,طمرة,טמרה,0505830733,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.8573682,35.1745076&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/505830733
23,جديدة المكر,ג׳דידה אלמכר,0508683838,يومياً: 11:00 - 21:00,כל יום: 11:00 - 21:00,"https://www.waze.com/ul?ll=32.9323979,35.1576085&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/508683838
22,سخنين,סח'נין,0525335571,يومياً: 10:30 - 22:30,כל יום: 10:30 - 22:30,"https://www.waze.com/ul?ll=32.8620192,35.2982376&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/525335571
2,كفر مندا,כפר מאנדא,0505102019,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://ul.waze.com/ul?ll=32.80894429%2C35.26172519&navigate=yes&zoom=17&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/505102019
