PRODUCT CODE,DESCRIPTION,PIECE,BARCODE,PRODUCT GROUP,PRODUCT TYPE,GENDER,SIZE,PRICE,LINK,IMAGE_LINK,ORIGINAL_EN,ORIGINAL_AR,ORIGINAL_HE,orig_norm,orig_can,FRAG_FOUND,FRAG_SOURCE,FRAG_MATCH_NAME,FRAG_MATCH_SCORE,FRAG_URL,DESC_AR,DESC_HE,PYRAMID_AR,PYRAMID_HE,BEST_TIME_AR,BEST_TIME_HE,RATING_5STARS,NEEDS_REVIEW
,,,,,,,,,,,,,,nan,nan,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
SELECTIVE WOMAN 100 CC,,,,,,,,100,,,,,,nan,nan,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
XF A.104,100 ML ANGEL,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.249,https://madperfume.co.il/upload/06-2025/product/6852ae61431b2.png,ANGEL,انجل,אנג׳ל,angel,angel,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
XF A.112,100 ML ALIEN,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.87,https://madperfume.co.il/upload/06-2025/product/6852a668ceda7.png,ALIEN,الين,אלינ,alien,alien,1,Fragrantica (MrBob23 dataset),Alien Mugler,100,https://www.fragrantica.com/perfume/Mugler/Alien-707.html,"طابع white floral, amber. يفتتح بـ Jasmine Sambac وينتهي بـ Amber. مناسب لمن يحب رائحة واضحة وثابتة.","אופי white floral, amber. נפתח ב-Jasmine Sambac ומסתיים ב-Amber. מתאים למי שאוהב ניחוח מורגש ועמיד.",الافتتاحية: Jasmine Sambac | القلب: Cashmeran | القاعدة: Amber,פתיחה: Jasmine Sambac | לב: Cashmeran | בסיס: Amber,مناسب: شتاء/خريف • ليل,מתאים: חורף/סתיו • לילה,★★★★★,0
XF A.113,100 ML ALIEN GODDESS,,8.68332E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.113,https://madperfume.co.il/upload/01-2026/product/697e456c9c59e.png,ALIEN GODDESS,الين جددسس,אלינ גודדסס,alien goddess,alien goddess,1,Fragrantica (MrBob23 dataset),Alien Goddess Mugler,100,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html,"طابع vanilla, powdery, white floral, woody. يفتتح بـ Coconut Water وينتهي بـ Bourbon Vanilla. مناسب لمن يحب رائحة واضحة وثابتة.","אופי vanilla, powdery, white floral, woody. נפתח ב-Coconut Water ומסתיים ב-Bourbon Vanilla. מתאים למי שאוהב ניחוח מורגש ועמיד.","الافتتاحية: Coconut Water, Bergamot | القلب: Jasmine, Heliotrope | القاعدة: Bourbon Vanilla, Cashmeran","פתיחה: Coconut Water, Bergamot | לב: Jasmine, Heliotrope | בסיס: Bourbon Vanilla, Cashmeran",مناسب: صيف/ربيع • نهار,מתאים: קיץ/אביב • יום,★★★★★,0
XF A.114,100 ML ADDICT DIOR,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.165,https://madperfume.co.il/upload/06-2025/product/685069fa42164.png,ADDICT DIOR,ادديكت ديور,אדדיקט דיור,addict dior,addict dior,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
XF A.117,100 ML AMOR AMOR,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.163,https://madperfume.co.il/upload/01-2026/product/697e4e51c4ba6.png,AMOR AMOR,امور امور,אמור אמור,amor amor,amor amor,1,Fragrantica (MrBob23 dataset),Amor Amor Cacharel,100,https://www.fragrantica.com/perfume/Cacharel/Amor-Amor-238.html,"طابع citrus, fruity, vanilla, soft spicy. يفتتح بـ Black Currant وينتهي بـ Vanilla. مناسب لمن يحب رائحة واضحة وثابتة.","אופי citrus, fruity, vanilla, soft spicy. נפתח ב-Black Currant ומסתיים ב-Vanilla. מתאים למי שאוהב ניחוח מורגש ועמיד.","الافتتاحية: Black Currant, Orange, Mandarin Orange, Grapefruit, Cassia, Bergamot | القلب: Rose, Apricot, Jasmine, Lily, Lily-of-the-Valley | القاعدة: Vanilla, Tonka Bean, Musk, Amber, Virginia Cedar","פתיחה: Black Currant, Orange, Mandarin Orange, Grapefruit, Cassia, Bergamot | לב: Rose, Apricot, Jasmine, Lily, Lily-of-the-Valley | בסיס: Vanilla, Tonka Bean, Musk, Amber, Virginia Cedar",مناسب: ربيع/خريف • نهار,מתאים: אביב/סתיו • יום,★★★★★,0
XF A.118,100 ML ARMANI WAY,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.156,https://madperfume.co.il/upload/01-2026/product/697bd5610e49d.png,ARMANI WAY,ارماني واي,ארמני ואי,armani way,armani way,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
XF A.120,100 ML ARMANI CODE,,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.160,https://madperfume.co.il/upload/02-2026/product/697e83e5062d6.png,ARMANI CODE,ارماني كودي,ארמני קודא,armani code,armani code,1,Fragrantica (sir-omoreno dataset),Armani Code (Giorgio Armani),100,,"طابع citrus, leather, anis, soft spicy. يفتتح بـ Lemon وينتهي بـ Leather. مناسب لمن يحب رائحة واضحة وثابتة.","אופי citrus, leather, anis, soft spicy. נפתח ב-Lemon ומסתיים ב-Leather. מתאים למי שאוהב ניחוח מורגש ועמיד.","الافتتاحية: Lemon, Bergamot | القلب: Star Anise, Olive Blossom, Guaiac Wood | القاعدة: Leather, Tonka Bean, Tobacco","פתיחה: Lemon, Bergamot | לב: Star Anise, Olive Blossom, Guaiac Wood | בסיס: Leather, Tonka Bean, Tobacco",مناسب: ربيع/خريف • نهار,מתאים: אביב/סתיו • יום,★★★★★,0
XF A.122,100 ML ARMANI SI PASSIONE (NEW),,8.68176E+12,Perfume,Selective,WOMEN,100 ML,100,https://madperfume.co.il/?app=product.show.78,https://madperfume.co.il/upload/06-2025/product/68502ddf4b256.png,ARMANI SI PASSIONE,ارماني سي باسسيوني,ארמני סי פאססיונ,armani si passione,armani si passione,0,Not found in Fragrantica datasets,,,,وصف عام: عطر أنيق ومتوازن، مناسب للاستخدام اليومي.,"תיאור כללי: ניחוח אלגנטי ומאוזן, מתאים ליום-יום.",غير متوفر (غير موجود على فراغرانتيكا ضمن الداتا المتاحة),לא זמין (לא נמצא ב-Fragrantica בדאטה הזמינה),مناسب: كل الفصول • نهار/ليل,מתאים: כל העונות • יום/לילה,★★★★★,0
